Date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,PR,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
06-1976,58.39,51.25,53.48,46.55,22.43,45.9,26.87,28.55,37.15,48.71,46.7,39.6,21.82,58.86,53.78,41.47,46.03,56.7,46.63,56.88,23.9,34.35,33.04,42.49,44.14,51.74,58.29,54.62,42.73,62.91,52.76,30.36,28.09,46.09,38.34,27.01,47.22,59.37,42.19,39.29,27.02,39.6,47.83,54.17,46.56,54.21,50.72,36.74,39.6,29.83,29.97,47.22,65.36,62.58
07-1976,59.02,51.35,54.34,45.75,22.96,45.59,27.35,29.91,35.58,46.18,48.31,39.8,21.38,60.26,53.29,42.23,45.65,56.96,46.75,56.53,23.89,34.4,35.95,42.46,44.25,49.04,56.42,53.66,42.9,62.82,52.59,33.02,28.6,46.43,38.67,27.18,47.78,58.39,43.13,39.37,27.47,39.8,47.12,55.07,47.38,53.82,52.07,37.2,39.8,35.42,30.52,47.85,66.59,63.73
08-1976,59.65,51.44,55.2,44.94,23.48,45.29,27.83,31.26,34.02,43.64,49.92,40,20.95,61.67,52.8,42.99,45.27,57.21,46.87,56.18,23.88,34.45,38.86,42.43,44.35,46.35,54.54,52.69,43.07,62.73,52.41,35.68,29.11,46.77,39,27.35,48.34,57.41,44.06,39.45,27.92,40,46.41,55.98,48.2,53.44,53.42,37.65,40,41.01,31.08,48.47,67.82,64.89
09-1976,59.4,52.15,55.6,44.93,23.73,45.85,28.1,30.91,35.29,44.5,49.49,40.1,21.26,60.74,52.98,42.52,46.21,57.76,47.06,57.67,23.98,34.76,35.19,42.77,44.55,46.52,57.66,53.15,42.95,62.78,53.44,35.01,28.18,47.08,39.96,27.03,48.61,58.53,44.88,39.06,27.74,40.1,46.51,54.76,48.03,53.33,52.88,37.83,40.1,38.34,31.28,48.54,64.98,66.35
10-1976,59.14,52.87,55.99,44.92,23.98,46.41,28.36,30.56,36.55,45.36,49.06,40.2,21.57,59.82,53.16,42.05,47.15,58.31,47.25,59.15,24.07,35.07,31.51,43.12,44.75,46.7,60.78,53.61,42.83,62.83,54.47,34.35,27.25,47.38,40.92,26.71,48.88,59.66,45.71,38.68,27.55,40.2,46.61,53.54,47.86,53.23,52.35,38.02,40.2,35.67,31.48,48.6,62.15,67.81
11-1976,58.89,53.58,56.38,44.91,24.22,46.97,28.63,30.2,37.82,46.22,48.62,40.3,21.87,58.89,53.34,41.57,48.09,58.86,47.44,60.64,24.17,35.39,27.84,43.46,44.95,46.87,63.89,54.07,42.71,62.87,55.5,33.69,26.31,47.69,41.88,26.4,49.15,60.78,46.53,38.29,27.37,40.3,46.71,52.33,47.69,53.12,51.81,38.2,40.3,33,31.68,48.66,59.31,69.26
12-1976,60.99,53.97,56.4,45.54,24.55,47.73,27.78,30.49,36.93,45.87,48.29,40.7,21.81,60.2,54.73,43.36,48.55,59.41,47.37,60.62,24.58,35.34,29.94,43.84,45.58,46.94,61.91,54.52,43.91,66.42,55.62,31.4,27.02,49.23,41.8,26.88,49.31,61.48,47.45,37.93,27.22,40.7,46.31,50.55,48.89,53.95,53.28,38.45,40.7,43.86,32.04,49.84,60.86,69.53
01-1977,63.09,54.36,56.42,46.16,24.87,48.5,26.92,30.78,36.04,45.53,47.97,41.1,21.75,61.51,56.11,45.15,49.02,59.97,47.3,60.6,24.99,35.3,32.03,44.22,46.21,47,59.93,54.98,45.11,69.96,55.74,29.11,27.72,50.78,41.73,27.37,49.47,62.19,48.38,37.57,27.07,41.1,45.91,48.77,50.1,54.79,54.75,38.69,41.1,54.72,32.4,51.02,62.4,69.79
02-1977,65.18,54.75,56.44,46.78,25.2,49.26,26.06,31.07,35.15,45.18,47.64,41.6,21.69,62.83,57.49,46.94,49.49,60.52,47.22,60.58,25.4,35.25,34.13,44.6,46.84,47.07,57.96,55.43,46.32,73.5,55.85,26.83,28.43,52.32,41.65,27.86,49.62,62.89,49.3,37.2,26.92,41.6,45.51,46.99,51.3,55.62,56.22,38.94,41.6,65.58,32.76,52.2,63.95,70.05
03-1977,63.93,55.05,56.96,46.76,25.97,49.43,26.9,31.92,34.55,47.83,47.42,42.3,22.21,63.32,57.12,47.56,49.56,61.64,48.08,61.68,24.81,35.46,34.69,44.67,47.22,50.25,59.18,56.82,45.76,74.64,57.11,30.13,28.41,51.89,42.19,28.66,50.03,62.49,49.66,38.57,27.31,42.3,46.65,49.6,51.58,57.41,56.53,39.25,42.3,55.11,33.29,52.87,69.25,70.65
04-1977,62.68,55.36,57.47,46.74,26.74,49.59,27.73,32.77,33.95,50.49,47.19,43.1,22.73,63.82,56.74,48.17,49.64,62.75,48.95,62.78,24.21,35.66,35.25,44.74,47.6,53.43,60.41,58.21,45.21,75.78,58.37,33.43,28.39,51.46,42.74,29.46,50.44,62.1,50.02,39.93,27.7,43.1,47.78,52.21,51.85,59.21,56.85,39.56,43.1,44.65,33.83,53.55,74.55,71.26
05-1977,61.43,55.66,57.99,46.72,27.52,49.76,28.56,33.62,33.34,53.15,46.97,43.8,23.24,64.32,56.37,48.78,49.71,63.86,49.81,63.87,23.62,35.87,35.8,44.81,47.98,56.62,61.63,59.6,44.66,76.91,59.63,36.74,28.37,51.03,43.28,30.26,50.85,61.7,50.38,41.3,28.09,43.8,48.92,54.82,52.12,61,57.16,39.86,43.8,34.18,34.37,54.22,79.85,71.86
06-1977,62.03,56.97,58.95,47.45,28.28,50.71,29.02,33.93,34.88,50.69,47.78,44,23.42,64.83,57.63,48.4,50.21,64.1,50.68,62.49,24.32,36.49,35.43,45.69,49.29,55.04,61.15,60.88,45.38,74.73,60.22,35.8,28.56,52.05,44.24,29.96,51.77,63.36,51.66,41.18,28.54,44,49.18,57,52.13,59.97,58.73,40.34,44,34.84,35.3,54.74,74.74,72.53
07-1977,62.63,58.27,59.91,48.17,29.05,51.66,29.49,34.24,36.42,48.23,48.58,44.3,23.6,65.35,58.88,48.03,50.72,64.34,51.55,61.1,25.02,37.12,35.05,46.56,50.59,53.45,60.68,62.16,46.1,72.54,60.82,34.86,28.75,53.07,45.2,29.66,52.7,65.01,52.95,41.05,29,44.3,49.43,59.18,52.14,58.95,60.3,40.82,44.3,35.5,36.23,55.26,69.62,73.21
08-1977,63.24,59.58,60.87,48.9,29.82,52.61,29.95,34.56,37.95,45.77,49.38,44.5,23.78,65.86,60.14,47.65,51.22,64.58,52.43,59.71,25.72,37.75,34.67,47.43,51.9,51.87,60.2,63.45,46.82,70.36,61.41,33.92,28.95,54.1,46.16,29.36,53.62,66.66,54.23,40.93,29.45,44.5,49.69,61.36,52.15,57.92,61.88,41.29,44.5,36.16,37.16,55.77,64.51,73.88
09-1977,64.53,59.72,61.64,49.86,30.16,53.7,30.03,35.82,37.35,46.74,48.87,45.1,23.93,66.85,61.72,49.11,52.5,65.42,52.68,62.11,25.55,37.7,35.97,47.65,52.19,52.72,62.93,64.24,47.81,69.05,61.89,34.74,29.39,54.59,47.32,29.77,54.09,67.03,55.33,41.48,29.67,45.1,50.41,62.38,52.35,59.33,61.33,41.58,45.1,35.65,37.76,56.35,70.32,75.86
10-1977,65.82,59.86,62.42,50.83,30.5,54.79,30.11,37.09,36.74,47.71,48.36,45.8,24.08,67.85,63.31,50.56,53.78,66.26,52.93,64.52,25.39,37.65,37.27,47.88,52.49,53.58,65.66,65.04,48.79,67.74,62.36,35.55,29.83,55.09,48.49,30.17,54.56,67.39,56.42,42.03,29.89,45.8,51.13,63.41,52.56,60.75,60.77,41.87,45.8,35.14,38.36,56.92,76.12,77.85
11-1977,67.11,60.01,63.19,51.79,30.85,55.88,30.18,38.36,36.14,48.67,47.84,46.4,24.23,68.84,64.89,52.01,55.06,67.1,53.18,66.92,25.23,37.59,38.57,48.1,52.78,54.44,68.39,65.84,49.78,66.43,62.84,36.37,30.27,55.59,49.65,30.58,55.03,67.76,57.51,42.58,30.11,46.4,51.85,64.44,52.76,62.16,60.22,42.16,46.4,34.63,38.96,57.5,81.92,79.83
12-1977,64.88,59.81,63.02,52.02,31.22,56.59,30.18,37.26,36.03,49.38,49.75,46.8,24.51,69.41,66.11,52,55.57,67.75,53.9,68.72,25.84,38.54,37.31,48.67,53.02,54.79,67.84,68.86,50.09,71.06,62.1,36.61,30.47,55.81,49.67,30.25,55.45,68.64,57.73,42.44,30.4,46.8,51.1,62.52,54.43,62.9,62.59,42.31,46.8,37.61,39.56,58.4,81.59,80.24
01-1978,62.64,59.62,62.85,52.25,31.59,57.3,30.17,36.16,35.92,50.08,51.66,47.2,24.78,69.97,67.33,52,56.07,68.4,54.62,70.52,26.45,39.48,36.05,49.24,53.26,55.15,67.3,71.88,50.39,75.68,61.36,36.85,30.67,56.03,49.69,29.91,55.86,69.53,57.95,42.29,30.69,47.2,50.35,60.61,56.11,63.64,64.96,42.47,47.2,40.58,40.16,59.29,81.25,80.65
02-1978,60.41,59.43,62.69,52.48,31.97,58,30.16,35.07,35.81,50.78,53.57,47.6,25.06,70.53,68.54,51.99,56.58,69.05,55.33,72.32,27.07,40.42,34.79,49.81,53.5,55.5,66.75,74.89,50.7,80.31,60.63,37.08,30.87,56.25,49.71,29.58,56.28,70.41,58.17,42.14,30.98,47.6,49.59,58.7,57.79,64.38,67.34,42.62,47.6,43.55,40.76,60.19,80.91,81.06
03-1978,63.88,59.11,63.13,53.14,32.38,59,31.13,36.83,37.38,52.07,52.3,48.3,25.18,72.07,68.38,53.74,57.33,69.58,55.88,71.74,27.1,40.56,36.82,50.85,54.99,58.44,67.21,74.5,50.59,76.85,63.04,37.08,31.12,56.62,51.12,30.39,57.08,72.38,59.51,43,31.32,48.3,50.97,61.04,57.02,65.11,67.5,43.3,48.3,43.09,41.79,61.05,78.77,82.42
04-1978,67.36,58.8,63.57,53.79,32.79,59.99,32.11,38.6,38.94,53.35,51.03,49,25.31,73.61,68.22,55.49,58.09,70.1,56.43,71.15,27.14,40.71,38.84,51.89,56.48,61.37,67.66,74.1,50.49,73.38,65.45,37.08,31.37,56.99,52.54,31.21,57.89,74.35,60.85,43.86,31.66,49,52.35,63.39,56.25,65.84,67.67,43.98,49,42.62,42.82,61.91,76.63,83.79
05-1978,70.83,58.48,64.02,54.45,33.2,60.98,33.08,40.36,40.5,54.64,49.76,49.7,25.44,75.14,68.06,57.24,58.84,70.63,56.97,70.57,27.18,40.85,40.87,52.92,57.97,64.31,68.12,73.7,50.38,69.92,67.87,37.08,31.62,57.36,53.95,32.03,58.69,76.32,62.19,44.73,31.99,49.7,53.73,65.73,55.48,66.57,67.83,44.67,49.7,42.16,43.85,62.77,74.49,85.15
06-1978,70.74,60.96,64.95,55.88,33.57,62.13,34.28,41.38,39.3,54.32,50.96,50.2,25.45,74.76,69.21,57.27,59.5,71.86,58.14,72.42,27.99,41.23,40.08,53.62,58.78,63.07,70.09,74.12,51.35,73.74,67.89,38.69,32.08,58.17,54.97,31.33,59.27,77.49,63.04,44.3,32.19,50.2,53.91,66.19,56.68,67.3,68.73,45.04,50.2,44.29,44.65,63.48,76.73,85.7
07-1978,70.64,63.45,65.88,57.3,33.94,63.29,35.48,42.41,38.1,54.01,52.17,50.7,25.46,74.38,70.37,57.31,60.15,73.09,59.3,74.28,28.79,41.6,39.3,54.33,59.58,61.83,72.05,74.54,52.31,77.56,67.91,40.3,32.54,58.99,55.98,30.63,59.85,78.66,63.89,43.87,32.39,50.7,54.09,66.64,57.88,68.02,69.62,45.42,50.7,46.43,45.45,64.19,78.97,86.26
08-1978,70.55,65.93,66.81,58.73,34.32,64.44,36.68,43.43,36.9,53.7,53.38,51.2,25.47,74.01,71.52,57.35,60.81,74.32,60.46,76.14,29.6,41.98,38.51,55.03,60.38,60.59,74.01,74.96,53.28,81.38,67.93,41.91,33,59.8,56.99,29.94,60.43,79.84,64.74,43.45,32.58,51.2,54.27,67.1,59.07,68.75,70.52,45.79,51.2,48.56,46.25,64.9,81.22,86.81
09-1978,70.52,65.29,66.31,59.57,34.76,65.27,36.54,42.57,36.72,54,53.39,51.6,26.88,75.81,70.29,58.11,61.24,74.75,60.89,77.06,29.77,42.46,39.06,55.79,60.7,60.87,72.93,75.22,53.2,78.93,67.62,42.07,33.4,60.36,57.39,29.82,60.88,80.63,65.57,43.78,33.32,51.6,54.45,66.33,59.52,70.1,71.44,46.48,51.6,45.47,46.8,65.15,81.03,88.25
10-1978,70.49,64.66,65.81,60.4,35.2,66.1,36.4,41.71,36.53,54.31,53.4,52,28.28,77.61,69.07,58.88,61.66,75.19,61.32,77.98,29.95,42.94,39.61,56.55,61.02,61.16,71.84,75.49,53.12,76.49,67.31,42.23,33.8,60.92,57.78,29.71,61.34,81.42,66.39,44.12,34.05,52,54.62,65.55,59.96,71.46,72.35,47.17,52,42.37,47.35,65.39,80.84,89.68
11-1978,70.46,64.02,65.32,61.24,35.64,66.93,36.25,40.85,36.35,54.61,53.42,52.3,29.69,79.42,67.84,59.65,62.09,75.62,61.75,78.9,30.12,43.42,40.16,57.31,61.34,61.44,70.76,75.75,53.04,74.04,67,42.38,34.2,61.49,58.18,29.6,61.79,82.21,67.21,44.45,34.78,52.3,54.79,64.78,60.41,72.81,73.26,47.87,52.3,39.28,47.9,65.64,80.65,91.12
12-1978,70.8,65.18,67.5,62.53,36.11,67.97,37.54,43.12,37.07,55.8,53.72,53.2,29.14,79.29,70.74,58.21,63.25,76.16,62.89,81.27,30.67,43.83,42.43,58.48,62.49,62.43,73.26,76.61,53.81,78.93,69.08,42.96,35.14,62.94,59.4,31.48,62.89,83.76,68.29,45.18,35.02,53.2,55.76,66.4,60.95,73.4,74.47,47.79,53.2,41.27,48.1,66.73,80.12,92.73
01-1979,71.13,66.34,69.69,63.81,36.58,69,38.83,45.4,37.79,56.98,54.02,54.1,28.6,79.16,73.64,56.77,64.4,76.71,64.03,83.64,31.21,44.24,44.7,59.65,63.64,63.43,75.75,77.48,54.59,83.81,71.15,43.54,36.08,64.4,60.63,33.37,63.98,85.32,69.36,45.91,35.26,54.1,56.73,68.01,61.49,73.98,75.67,47.71,54.1,43.25,48.3,67.82,79.59,94.35
02-1979,71.47,67.49,71.88,65.1,37.05,70.03,40.12,47.67,38.51,58.17,54.32,54.9,28.06,79.03,76.54,55.33,65.56,77.26,65.17,86.01,31.76,44.65,46.98,60.83,64.79,64.42,78.25,78.34,55.37,88.7,73.22,44.12,37.01,65.86,61.85,35.25,65.07,86.87,70.43,46.64,35.5,54.9,57.69,69.63,62.03,74.57,76.88,47.63,54.9,45.24,48.5,68.9,79.06,95.96
03-1979,74.94,67.4,72.33,66.29,37.58,70.78,40.26,47.24,38.17,58.7,55.13,55.5,29.31,79.98,74.84,56.79,66.13,77.7,65.66,87.23,31.97,45.25,46.28,61.79,65.38,66.63,78.29,80.57,55.52,88.4,73.03,45.11,37.2,66.38,62.93,34.96,65.68,87.24,70.38,47.59,35.72,55.5,58.02,70.03,61.79,75.72,77.72,47.99,55.5,43.71,49.65,69.84,80.75,98.42
04-1979,78.42,67.3,72.79,67.49,38.11,71.53,40.39,46.8,37.82,59.24,55.93,56.1,30.55,80.94,73.13,58.24,66.7,78.15,66.15,88.46,32.18,45.85,45.58,62.75,65.97,68.84,78.34,82.79,55.66,88.1,72.85,46.09,37.38,66.91,64.01,34.67,66.28,87.6,70.34,48.54,35.95,56.1,58.35,70.42,61.56,76.88,78.56,48.35,56.1,42.19,50.81,70.78,82.44,100.89
05-1979,81.89,67.2,73.24,68.68,38.64,72.29,40.53,46.36,37.48,59.77,56.74,56.7,31.8,81.89,71.43,59.7,67.27,78.59,66.65,89.69,32.39,46.45,44.88,63.71,66.55,71.05,78.38,85.02,55.81,87.79,72.67,47.07,37.56,67.43,65.1,34.38,66.88,87.96,70.3,49.5,36.18,56.7,58.67,70.82,61.32,78.04,79.41,48.72,56.7,40.66,51.97,71.72,84.14,103.35
06-1979,80.46,67.39,74.66,69.15,39.35,73.02,41,46.81,38.95,59.94,56.77,57.1,32.82,82.82,72.98,59.14,67.72,79.44,66.24,90.78,32.91,46.84,43.68,64.45,67.24,69.38,81.04,83.26,56.94,87.14,74.13,47.7,38.34,67.94,65.71,34.16,66.99,89.17,70.94,49.12,36.16,57.1,59.02,73.71,62.84,78.77,79.44,49.37,57.1,41.83,52.22,71.39,84.16,104.68
07-1979,79.03,67.57,76.07,69.61,40.06,73.76,41.47,47.25,40.42,60.1,56.79,57.5,33.84,83.76,74.53,58.59,68.18,80.28,65.83,91.87,33.42,47.23,42.49,65.18,67.92,67.72,83.69,81.5,58.08,86.5,75.59,48.33,39.12,68.46,66.33,33.95,67.1,90.37,71.58,48.74,36.14,57.5,59.36,76.6,64.36,79.51,79.47,50.03,57.5,43,52.47,71.06,84.18,106.01
08-1979,77.6,67.76,77.49,70.08,40.77,74.5,41.95,47.7,41.89,60.27,56.82,57.9,34.86,84.69,76.09,58.03,68.63,81.13,65.41,92.95,33.94,47.61,41.29,65.92,68.6,66.05,86.35,79.74,59.22,85.85,77.05,48.96,39.89,68.97,66.95,33.73,67.21,91.58,72.21,48.36,36.12,57.9,59.71,79.49,65.89,80.24,79.5,50.68,57.9,44.17,52.72,70.73,84.2,107.34
09-1979,77.16,70.05,78.01,71.37,41.19,75.04,42.13,49.31,41.9,61.34,57.69,58.2,35.23,84.5,76.53,57.98,68.41,81.39,66.17,93.45,33.98,47.72,43.18,65.95,68.85,66.94,81.04,82.41,58.97,87.01,76.62,47.87,40.14,69.31,66.47,34.3,67.69,92.15,72.62,48.96,37.47,58.2,60.34,75.86,65.45,80.64,80.07,50.66,58.2,46.71,53.13,70.79,85.94,106.93
10-1979,76.72,72.35,78.54,72.67,41.62,75.57,42.32,50.92,41.92,62.42,58.56,58.6,35.6,84.3,76.97,57.94,68.2,81.64,66.93,93.94,34.01,47.83,45.07,65.97,69.1,67.84,75.74,85.08,58.72,88.17,76.19,46.77,40.38,69.65,65.99,34.88,68.18,92.71,73.02,49.56,38.82,58.6,60.97,72.24,65.02,81.03,80.64,50.64,58.6,49.24,53.54,70.86,87.68,106.53
11-1979,76.27,74.65,79.06,73.96,42.04,76.11,42.5,52.53,41.93,63.5,59.43,59,35.97,84.1,77.41,57.89,67.98,81.9,67.69,94.43,34.04,47.94,46.96,66,69.35,68.74,70.43,87.75,58.47,89.33,75.76,45.68,40.62,69.99,65.51,35.45,68.66,93.28,73.42,50.17,40.17,59,61.61,68.62,64.58,81.43,81.21,50.62,59,51.77,53.95,70.92,89.42,106.12
12-1979,78.86,71.63,78.33,74.12,42.61,76.03,42.09,52.65,42.38,63.9,60.49,59.3,37.09,83.45,77.82,57.93,68.81,82.39,67.64,95.58,34.15,48.29,45.42,66.05,69.72,67.97,73.64,86.51,59.54,88.47,76.54,47.29,41.61,71.51,65.83,35.48,68.45,95.05,73.44,50.55,39.65,59.3,61.48,71.83,65.82,82.35,81.45,51.63,59.3,50.09,54.38,71.11,90.37,107.87
01-1980,81.44,68.6,77.59,74.28,43.19,75.94,41.68,52.78,42.84,64.31,61.55,59.7,38.2,82.8,78.22,57.97,69.65,82.89,67.6,96.73,34.25,48.64,43.87,66.1,70.08,67.21,76.86,85.27,60.61,87.6,77.31,48.9,42.6,73.03,66.16,35.51,68.24,96.82,73.46,50.93,39.13,59.7,61.35,75.03,67.06,83.27,81.69,52.64,59.7,48.41,54.81,71.29,91.31,109.62
02-1980,84.02,65.58,76.85,74.43,43.76,75.86,41.26,52.9,43.3,64.72,62.6,60.1,39.32,82.15,78.63,58.01,70.49,83.38,67.55,97.88,34.35,48.99,42.32,66.15,70.45,66.44,80.07,84.03,61.68,86.74,78.09,50.51,43.6,74.54,66.48,35.53,68.03,98.59,73.48,51.32,38.62,60.1,61.22,78.24,68.3,84.19,81.93,53.65,60.1,46.73,55.24,71.48,92.26,111.37
