Date	Unemployment
10-2006	4.4
11-2006	4.5
12-2006	4.4
01-2007	4.6
02-2007	4.5
03-2007	4.4
04-2007	4.5
05-2007	4.4
06-2007	4.6
07-2007	4.7
08-2007	4.6
09-2007	4.7
10-2007	4.7
11-2007	4.7
12-2007	5.0
01-2008	5.0
02-2008	4.9
03-2008	5.1
04-2008	5.0
05-2008	5.4
06-2008	5.6
07-2008	5.8
08-2008	6.1
09-2008	6.1
10-2008	6.5
11-2008	6.8
12-2008	7.3
01-2009	7.8
02-2009	8.3
03-2009	8.7
04-2009	9.0
05-2009	9.4
06-2009	9.5
07-2009	9.5
08-2009	9.6
09-2009	9.8
10-2009	10.0
11-2009	9.9
12-2009	9.9
01-2010	9.8
02-2010	9.8
03-2010	9.9
04-2010	9.9
05-2010	9.6
06-2010	9.4
07-2010	9.5
08-2010	9.5
09-2010	9.5
10-2010	9.5
11-2010	9.8
12-2010	9.3
01-2011	9.1
02-2011	9.0
03-2011	8.9
04-2011	9.0
05-2011	9.0
06-2011	9.1
07-2011	9.0
08-2011	9.0
09-2011	9.0
10-2011	8.9
11-2011	8.6
12-2011	8.5
01-2012	8.3
02-2012	8.3
03-2012	8.2
04-2012	8.1
05-2012	8.2
06-2012	8.2
07-2012	8.2
08-2012	8.1
09-2012	7.8
10-2012	7.9
11-2012	7.8
12-2012	7.8
01-2013	7.9
02-2013	7.7
03-2013	7.6
04-2013	7.5
05-2013	7.6
06-2013	7.6
07-2013	7.4
08-2013	7.3
09-2013	7.2
10-2013	7.3
11-2013	7.0
12-2013	6.7
01-2014	6.6
02-2014	6.7
03-2014	6.7
04-2014	6.3
05-2014	6.3
06-2014	6.1
07-2014	6.2
08-2014	6.1
09-2014	5.9
10-2014	5.8
11-2014	5.8
12-2014	5.6
01-2015	5.7
02-2015	5.5
03-2015	5.5
04-2015	5.4
05-2015	5.5
06-2015	5.3
07-2015	5.3
08-2015	5.1
09-2015	5.1
10-2015	5.0
11-2015	5.0
12-2015	5.0
01-2016	4.9
02-2016	4.9
03-2016	5.0
04-2016	5.0
05-2016	4.7
06-2016	4.9
07-2016	4.9
08-2016	4.9
09-2016	5.0
10-2016	4.9
11-2016	4.6
12-2016	4.7
01-2017	4.8
02-2017	4.7
03-2017	4.5
04-2017	4.4
05-2017	4.3
